country,iso3,iso_num,region,subregion,year,pct_no_education,pct_primary,pct_secondary,pct_post_secondary,youth_pop_thousands,scenario,age_group,source,pct_secondary_plus,skill_gap_index,exposed_youth_thousands
Bolivia,BOL,68,Latin America,South America,2025,7.2,16.8,59.0,17.0,4960,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",76.0,24.0,1190.0
Bolivia,BOL,68,Latin America,South America,2030,4.8,13.4,62.8,19.0,4980,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",81.8,18.2,906.0
Bolivia,BOL,68,Latin America,South America,2035,3.0,10.4,66.0,20.6,4920,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",86.6,13.4,659.0
Honduras,HND,340,Latin America,Central America,2020,12.4,24.8,53.6,9.2,4240,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",62.8,37.2,1577.0
Honduras,HND,340,Latin America,Central America,2025,8.8,20.8,59.0,11.4,4480,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",70.4,29.6,1326.0
Honduras,HND,340,Latin America,Central America,2030,5.8,17.0,63.8,13.4,4680,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",77.2,22.8,1067.0
Honduras,HND,340,Latin America,Central America,2035,3.6,13.4,68.0,15.0,4860,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",83.0,17.0,826.0
Haiti,HTI,332,Latin America,Caribbean,2020,34.2,30.8,30.6,4.4,4960,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",35.0,65.0,3224.0
Haiti,HTI,332,Latin America,Caribbean,2025,27.8,28.4,37.2,6.6,5360,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",43.800000000000004,56.2,3012.0
Haiti,HTI,332,Latin America,Caribbean,2030,21.8,25.6,43.8,8.8,5820,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",52.599999999999994,47.400000000000006,2759.0
Haiti,HTI,332,Latin America,Caribbean,2035,16.4,22.6,50.4,10.6,6300,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",61.0,39.0,2457.0
Uzbekistan,UZB,860,Central Asia,Central Asia,2020,2.2,8.4,64.8,24.6,10840,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",89.4,10.600000000000001,1149.0
Uzbekistan,UZB,860,Central Asia,Central Asia,2025,1.4,6.2,64.4,28.0,11240,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",92.4,7.6,854.0
Uzbekistan,UZB,860,Central Asia,Central Asia,2030,0.8,4.4,63.4,31.4,11480,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",94.8,5.2,597.0
Uzbekistan,UZB,860,Central Asia,Central Asia,2035,0.4,3.0,62.0,34.6,11560,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",96.6,3.4,393.0
Kyrgyzstan,KGZ,417,Central Asia,Central Asia,2020,2.8,10.4,62.4,24.4,1860,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",86.8,13.2,246.0
Kyrgyzstan,KGZ,417,Central Asia,Central Asia,2025,1.8,7.8,63.2,27.2,1940,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",90.4,9.6,186.0
Kyrgyzstan,KGZ,417,Central Asia,Central Asia,2030,1.0,5.6,63.6,29.8,1980,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",93.4,6.6,131.0
Kyrgyzstan,KGZ,417,Central Asia,Central Asia,2035,0.6,3.8,63.4,32.2,1980,SSP2,15-29,"WIC Data Explorer v3.0, KC & Lutz 2017",95.6,4.3999999999999995,87.0
